year,mean,p025,p050,p500,p975,sd
1933,-0.8644,-0.9644,-0.8769,-0.8769,-0.7172,0.0640
1934,-0.5793,-0.7088,-0.5894,-0.5894,-0.4265,0.0719
1935,-0.6902,-0.8095,-0.6972,-0.6972,-0.5549,0.0642
1936,-0.6550,-0.7904,-0.6628,-0.6628,-0.5116,0.0666
1937,-0.5466,-0.6821,-0.5539,-0.5539,-0.3894,0.0662
1938,-0.3760,-0.5334,-0.3823,-0.3823,-0.1983,0.0769
1939,-0.4976,-0.6005,-0.5124,-0.5124,-0.3617,0.0642
1940,-0.5165,-0.7033,-0.5300,-0.5300,-0.3546,0.0869
1941,-0.5107,-0.6130,-0.5102,-0.5102,-0.3887,0.0652
1942,-0.5467,-0.6493,-0.5481,-0.5481,-0.4241,0.0582
1943,-0.5130,-0.6386,-0.5196,-0.5196,-0.3827,0.0551
1944,-0.4031,-0.5159,-0.4102,-0.4102,-0.2294,0.0686
1945,-0.6330,-0.7176,-0.6485,-0.6485,-0.5220,0.0562
1946,-0.5913,-0.6754,-0.6019,-0.6019,-0.4648,0.0494
1947,-0.4855,-0.5739,-0.4861,-0.4861,-0.3757,0.0552
1948,-0.5207,-0.6044,-0.5222,-0.5222,-0.4291,0.0475
1949,-0.6264,-0.7308,-0.6286,-0.6286,-0.5337,0.0522
1950,-0.8204,-0.9195,-0.8243,-0.8243,-0.7462,0.0460
1951,-0.6228,-0.6930,-0.6303,-0.6303,-0.5459,0.0396
1952,-0.5811,-0.6360,-0.5913,-0.5913,-0.5028,0.0338
1953,-0.3819,-0.4302,-0.3900,-0.3900,-0.3109,0.0364
1954,-0.6540,-0.7140,-0.6545,-0.6545,-0.5854,0.0388
1955,-0.6813,-0.7286,-0.6947,-0.6947,-0.5802,0.0373
1956,-0.9355,-0.9949,-0.9282,-0.9282,-0.8733,0.0409
1957,-0.5998,-0.6624,-0.6072,-0.6072,-0.5340,0.0434
1958,-0.4861,-0.5558,-0.4834,-0.4834,-0.4204,0.0427
1959,-0.4882,-0.5391,-0.4864,-0.4864,-0.4433,0.0299
1960,-0.6099,-0.7137,-0.5827,-0.5827,-0.5251,0.0623
1961,-0.4757,-0.5414,-0.4611,-0.4611,-0.3928,0.0484
1962,-0.4871,-0.5588,-0.4765,-0.4765,-0.4288,0.0406
1963,-0.4695,-0.5530,-0.4752,-0.4752,-0.3765,0.0515
1964,-0.8345,-0.9485,-0.8167,-0.8167,-0.7418,0.0668
1965,-0.7264,-0.7753,-0.7139,-0.7139,-0.6862,0.0280
1966,-0.6612,-0.7552,-0.6584,-0.6584,-0.5800,0.0543
1967,-0.5830,-0.6342,-0.5779,-0.5779,-0.5106,0.0341
1968,-0.7318,-0.8070,-0.7255,-0.7255,-0.6587,0.0464
1969,-0.6499,-0.7027,-0.6667,-0.6667,-0.5642,0.0452
1970,-0.5650,-0.6343,-0.5635,-0.5635,-0.5005,0.0433
